City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,homer,59.6425,-151.5483,30.79,70,100,14.0,US,1679164268
85,san patricio,28.017,-97.5169,55.26,57,100,17.87,US,1679164269
86,holoby,51.0865,25.0077,38.93,82,48,11.16,UA,1679164112
87,minyar,55.0709,57.5485,26.62,75,71,10.29,RU,1679164270
88,kiunga,-6.1219,141.2906,72.57,99,100,0.56,PG,1679164271
89,arraial do cabo,-22.9661,-42.0278,85.96,58,20,11.5,BR,1679164272
90,pisco,-13.7,-76.2167,80.02,73,0,11.5,PE,1679164259
91,carnarvon,-24.8667,113.6333,73.26,67,0,20.2,AU,1679164275
92,emerald,-23.5333,148.1667,66.34,86,3,6.06,AU,1679164276
93,kingaroy,-26.5333,151.8333,64.24,94,37,3.87,AU,1679164278
94,klichka,50.4457,117.996,6.35,94,5,4.94,RU,1679164279
95,kapit,2.0167,112.9333,74.05,100,100,0.58,MY,1679164280
96,bud,39.447,-86.1758,29.41,62,98,19.15,US,1679164280
97,ojinaga,29.5667,-104.4167,45.41,87,100,14.97,MX,1679164281
98,kabompo,-13.5927,24.2008,64.71,97,100,6.22,ZM,1679164282
99,hofn,64.2539,-15.2082,34.07,91,96,5.93,IS,1679164282
100,tuktoyaktuk,69.4541,-133.0374,-13.0,77,75,6.91,CA,1679164284
101,horki,54.2861,30.9842,28.65,80,29,10.78,BY,1679164285
102,kamenka,51.3223,42.7678,33.82,89,100,14.63,RU,1679164286
103,la fria,8.2203,-72.2439,82.51,64,51,4.25,VE,1679164286
104,severodvinsk,64.5635,39.8302,33.91,80,100,18.95,RU,1679164033
105,port augusta,-32.5,137.7667,69.82,71,19,11.65,AU,1679164288
106,honiara,-9.4333,159.95,77.63,87,100,1.45,SB,1679164289
107,buraydah,26.326,43.975,72.05,52,34,18.61,SA,1679163941
108,kanigoro,-8.13,112.219,73.24,93,99,2.75,ID,1679164294
109,qaanaaq,77.484,-69.3632,-12.71,80,0,6.4,GL,1679164201
110,narsaq,60.9167,-46.05,43.02,74,100,0.81,GL,1679164295
111,omemee,44.299,-78.5599,31.87,64,100,20.71,CA,1679164295
112,khatanga,71.9667,102.5,-28.79,96,100,9.51,RU,1679164297
113,marrakesh,31.6315,-8.0083,69.87,37,40,10.36,MA,1679164130
114,sao joao da barra,-21.6403,-41.0511,87.89,76,9,11.21,BR,1679164298
115,scarborough,54.2797,-0.4044,51.37,88,68,5.19,GB,1679164222
116,constitucion,-35.3333,-72.4167,71.62,64,16,15.95,CL,1679164299
117,port elizabeth,-33.918,25.5701,70.11,90,0,8.05,ZA,1679164167
118,mar del plata,-38.0023,-57.5575,68.83,64,67,12.33,AR,1679164050
119,maniitsoq,65.4167,-52.9,29.32,83,100,6.64,GL,1679164301
120,tiksi,71.6872,128.8694,-16.13,95,100,14.45,RU,1679164301
121,lagoa,39.05,-27.9833,61.11,86,100,23.53,PT,1679164302
122,iqaluit,63.7506,-68.5145,-15.07,70,20,24.16,CA,1679164303
123,lebu,-37.6167,-73.65,61.92,72,5,13.98,CL,1679164303
124,punta arenas,-53.15,-70.9167,51.91,54,75,25.32,CL,1679164257
125,kodinsk,58.6881,99.1844,32.79,96,100,6.96,RU,1679164305
126,lorengau,-2.0226,147.2712,78.76,84,98,2.86,PG,1679164306
127,alofi,-19.0595,-169.9187,76.89,94,99,3.44,NU,1679164307
128,ancud,-41.8697,-73.8203,60.26,59,0,7.74,CL,1679164307
129,visby,57.6409,18.296,40.05,87,75,13.8,SE,1679164309
130,dukat,62.55,155.55,6.93,89,100,11.21,RU,1679164310
131,vardo,70.3705,31.1107,28.38,86,100,17.27,NO,1679164310
132,state college,40.7934,-77.86,41.81,45,75,15.99,US,1679164311
133,lompoc,34.6391,-120.4579,71.74,52,0,20.0,US,1679164311
134,albanel,48.8832,-72.4487,32.14,64,61,10.36,CA,1679164312
135,codrington,-38.2667,141.9667,59.07,78,100,8.9,AU,1679164313
136,victoria,22.2855,114.1577,71.65,88,55,11.99,HK,1679164033
137,ponta do sol,32.6667,-17.1,67.71,72,79,0.98,PT,1679164048
138,atasu,48.6814,71.6433,14.41,98,96,2.98,KZ,1679164314
139,bandarbeyla,9.4942,50.8122,80.71,84,95,10.65,SO,1679164315
140,chuy,-33.6971,-53.4616,77.49,77,100,10.07,UY,1679164317
141,kandrian,-6.2167,149.55,76.01,89,22,2.75,PG,1679164318
142,puerto santander,8.3636,-72.4063,83.61,55,52,4.88,CO,1679164318
143,bealanana,-14.55,48.7333,65.71,96,81,1.63,MG,1679164101
144,tual,-5.6667,132.75,83.03,72,76,6.42,ID,1679164320
145,cape town,-33.9258,18.4232,66.11,80,20,9.22,ZA,1679164279
146,high level,58.5169,-117.136,28.51,69,0,0.0,CA,1679164321
147,hay river,60.8156,-115.7999,13.96,72,20,4.61,CA,1679164323
148,pithapuram,17.1167,82.2667,72.36,90,100,4.38,IN,1679164324
149,sitka,57.0531,-135.33,49.89,43,40,25.32,US,1679164324
150,saint-joseph,-21.3667,55.6167,79.18,81,94,1.9,RE,1679164205
151,recco,44.3623,9.1435,57.67,80,100,3.94,IT,1679164326
152,qui nhon,13.7667,109.2333,72.12,86,96,4.18,VN,1679164327
153,palmer,42.1584,-72.3287,50.65,40,75,13.8,US,1679164327
154,pangnirtung,66.1451,-65.7125,-13.0,70,20,5.75,CA,1679164328
155,nagapattinam,10.7667,79.8333,79.41,81,10,11.41,IN,1679164328
156,kholodnyy,62.7167,147.95,-8.12,100,100,1.83,RU,1679164329
157,isabela,6.7085,121.9711,77.05,85,63,3.18,PH,1679164330
158,tucuma,-0.1833,-50.05,82.67,64,93,7.65,BR,1679164331
159,nyurba,63.2842,118.3319,2.5,92,100,9.22,RU,1679164332
